"","CVE_CARRERA","CARRERA","TOTAL","HOMBRE","PCT_HOMBRE","MUJER","PCT_MUJER","MATRICULA","MATRICULA_H","MATRICULA_M","EGRESADOS_H","EGRESADOS_M","NUEVO_INGRESO_H","NUEVO_INGRESO_M","LUGARES","SOLICITUDES","PCT_TOTAL","RANK_EGRESADOS","X30_O_MAS","PCT_30MAS","MENOR_DE_30","PCT_30MENOS","ACTIVA","NO_ACTIVA","OCUPADO","TASA_OCUPACION","DESOCUPADO","TASA_DESOCUPACION","DISPONIBLE","NO_DISPONIBLE","FORMAL","INFORMAL","TASA_INFORMALIDAD","DESANIMADO","CARRERA_PROFESIONAL","POSGRADO","POR_POSGRADO","INGRESO_CERO","CUENTAPROPIA","POR_CUENTAPROPIA","EMPLEADOR","POR_EMPLEADOR","SIN_PAGO","POR_SIN_PAGO","SUBORDINADO","POR_SUBORDINADO","AGRICULTURA_Y_GANADERIA","POR_AGRICULTURA","COMERCIO","POR_COMERCIO","CONSTRUCCION","POR_CONSTRUCCION","GOBIERNO_Y_ORGANISMOS_INTERNACIONALES","POR_GOBIERNO","INDUSTRIA_EXTRACTIVA","POR_EXTRACTIVA","INDUSTRIA_MANUFACTURERA","POR_MANUFACTURA","RESTAURANTES_Y_ALOJAMIENTOS","POR_RESTAURANTES","SERVICIOS_DIVERSOS","POR_SERVDIVERSOS","SERVICIOS_PROFESIONALES_FINANCIEROS_Y_CORPORATIVOS","POR_SERVPROFESIONALES","SERVICIOS_SOCIALES","POR_SERVSOCIALES","TRANSPORTES_Y_COMUNICACIONES","POR_TRANSPORTES","INGRESO","RANK_INGRESO","INGRESO_Q25","INGRESO_Q50","INGRESO_Q75","INGRESO_Q100","INGRESO_H","INGRESO_M","INGRESO_30MENOS","INGRESO_30MAS","INGRESO_FORMAL","INGRESO_INFORMAL","INCREMENTO_POSGRADO","PROB_EMPL_CAL","COSTO_TOTAL_PRIVADA","TIEMPO_INVERSION_PRIV","CI_PRI","RSI_PRI","COSTO_TOTAL_PUBLICA","TIEMPO_INVERSION_PUB","CI_PUB","RSI_PUB"
"23",321,"Comunicación y periodismo",251064,107070,0.426464965108498,143995,0.573539017939649,57797,27049,30748,4529,6090,5864,6749,17766,20297,0.0149659132405747,20,195738,0.77963387821432,55326,0.22036612178568,204504,46561,196542,0.9611,7962,0.0389,6549,40012,142830,53712,0.2733,3674,233118,17947,0.0714837650957525,104986,26106,0.132826571419849,8188,0.041660306702893,2092,0.0106440353715745,160156,0.814869086505683,829,0.00421792797468226,29110,0.148110836360676,1896,0.00964679305186678,20621,0.104919050381089,2038,0.010369284936553,20104,0.102288569364309,6807,0.0346338187257685,12161,0.0618748155610506,44740,0.22763582338635,25810,0.13132053199825,30934,0.157391295499181,16279,18,9900,14225,19800,76225,17343,15220,15572,16482,17079,13614,111.881800197824,0.7397,NA,NA,NA,NA,NA,NA,NA,NA
"24",331,"Derecho",1363896,686903,0.503632974948237,676994,0.496367758245497,375961,166642,209319,29178,36032,41491,52981,118552,137438,0.0813017764600534,1,1084772,0.795348032401297,279124,0.204651967598703,1100587,263309,1061739,0.9647,38848,0.0353,37806,225504,745234,316505,0.2981,29564,1238332,125564,0.0920627379213664,581462,250656,0.236080618683123,74570,0.0702338333620598,15240,0.0143538101171757,721272,0.679330795986584,9857,0.00928382587434388,112856,0.106293542951705,11226,0.01057321997214,296868,0.279605439754968,12334,0.0116167909439137,39866,0.0375478342605857,27488,0.0258896018701395,41352,0.0389474249321161,386155,0.363700495131101,73360,0.0690941935824153,44528,0.0419387438909186,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7178,NA,NA,NA,NA,NA,NA,NA,NA
"25",332,"Criminología y criminalística",117980,51855,0.439523648075945,66125,0.560476351924055,75732,29104,46628,5118,8393,9414,14317,29805,28203,0.00703278225521381,38,62831,0.532556365485676,55149,0.467443634514324,98668,19313,93648,0.9491,5019,0.0509,3161,16152,66684,26965,0.2879,818,102255,15726,0.133293778606543,48735,8622,0.092068170169144,3522,0.0376089185033316,2678,0.0285964462668717,78828,0.841747821629933,455,0.00485861951136169,17436,0.186186570989236,1472,0.0157184349906031,29333,0.313226123355544,732,0.00781650435674013,7317,0.0781330087134803,6032,0.0644114129506236,7251,0.0774282419272168,12018,0.128331624807791,7862,0.0839526738424739,3088,0.0329745429694174,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722,NA,NA,NA,NA,NA,NA,NA,NA
"26",411,"Negocios y comercio",396586,179321,0.452161700110443,217265,0.547838299889557,162738,69422,93316,11238,17747,17502,22811,56417,67377,0.0236404728213784,11,261717,0.659924959529585,134870,0.340077561991598,333541,63046,319482,0.9578,14059,0.0422,8692,54354,253132,66349,0.2077,9322,344313,52273,0.131807476814613,167294,33216,0.103968298683494,25352,0.0793534534026956,3390,0.0106109264371702,257523,0.806064191409845,3898,0.0122010003693479,71002,0.222241002622996,6839,0.0214065268152822,16124,0.0504691970126643,1641,0.00513643961162131,51246,0.16040340300862,10983,0.034377523616354,16448,0.0514833386544469,62509,0.195657345327749,20783,0.0650521782134831,54489,0.170554209626833,16876,15,10188,13700,19838,84000,18724,15087,14209,18585,17601,13301,147.065372008164,0.7737,NA,NA,NA,NA,NA,NA,NA,NA
"27",412,"Mercadotecnia y publicidad",312789,131579,0.42066377014537,181210,0.57933622985463,95354,37507,57847,5435,8856,8429,13134,31132,44560,0.0186453375896429,17,232312,0.742711540367468,80477,0.257288459632532,260166,52623,245651,0.9442,14515,0.0558,7958,44665,188476,57176,0.2328,5368,288788,24002,0.0767354350696476,142248,30476,0.124062185783897,21899,0.0891467976926615,4158,0.0169264525688884,189118,0.769864563954553,2063,0.00839809322982605,73408,0.298830454588013,2218,0.00902906969643926,10408,0.0423690520290982,754,0.00306939519887971,29402,0.119690129492654,11408,0.0464398679427318,11460,0.0466515503702407,73676,0.299921433252867,15024,0.0611599382864308,14320,0.0582940838832327,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7536,NA,NA,NA,NA,NA,NA,NA,NA
"28",413,"Finanzas, banca y seguros",119073,71014,0.596390449556155,48059,0.403609550443845,33042,18389,14653,3080,2669,4047,3225,9141,10221,0.00709793593384535,37,93532,0.785501331116206,25541,0.214498668883794,103926,15147,101122,0.973,2804,0.027,2424,12723,87568,13553,0.134,1416,62526,56547,0.474893552694566,54464,7239,0.0715867961472281,10068,0.0995629042147109,1008,0.00996815727537034,82806,0.818872253317775,555,0.00548841992840331,17619,0.174235082375744,4946,0.0489112161547438,4800,0.0474674155970016,1001,0.00989893396095805,12739,0.125976543185459,3864,0.0382112695555863,3035,0.0300132513201875,37914,0.374933248946817,5124,0.0506714661497993,8483,0.0838887680227844,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8507,NA,NA,NA,NA,NA,NA,NA,NA
"29",414,"Contabilidad y fiscalización",1266531,535018,0.422427875827753,731513,0.577572124172247,224017,97226,126791,15517,23129,25235,30623,72700,80257,0.0754978533859824,3,1085253,0.856870459546588,181278,0.143129540453412,943847,322684,928593,0.9838,15254,0.0162,30006,292678,732587,196006,0.2111,18868,1237256,29275,0.0231143177703507,483914,154109,0.165959683090439,61294,0.066007389674486,14674,0.0158024021288121,698516,0.752230525106263,15544,0.016739303440797,191887,0.206642737991779,28010,0.030163914653675,80817,0.0870316704950393,7883,0.00848918740503105,100746,0.108493171927852,34511,0.0371648289401277,38576,0.0415424195530227,313942,0.338083530674903,61993,0.0667601414182532,50041,0.0538890558080882,16930,14,9598,13390,20375,156250,19132,14947,12412,17966,18172,11096,147.504775549188,0.8183,NA,NA,NA,NA,NA,NA,NA,NA
"30",420,"Planes multidisciplinarios o generales del campo de administración y gestión",365018,173990,0.476661424916032,191028,0.523338575083968,152468,63725,88743,10234,15753,14915,20349,47417,53851,0.0217587058250012,13,299660,0.8209458163707,65358,0.1790541836293,292813,72205,284181,0.9705,8632,0.0295,7408,64798,219056,65125,0.2292,2930,281087,83931,0.229936605866012,155027,31068,0.109324690954005,13848,0.0487295068987723,3461,0.0121788578406016,235803,0.82976342542253,3697,0.0130093144861901,58658,0.206410703037853,7126,0.0250755680358645,29166,0.102631773412016,4322,0.0152086170433632,36964,0.130072031557353,10546,0.0371101516287155,17155,0.0603664565892864,63747,0.224318304179379,36369,0.127978295522924,14298,0.0503130047399369,17771,11,10125,14300,21000,115800,18826,16742,13904,18703,19008,12728,161.134294385432,0.7899,NA,NA,NA,NA,NA,NA,NA,NA
"31",421,"Administración de empresas",1360239,619569,0.455485396316383,740670,0.544514603683617,270640,111558,159082,18158,28156,28961,38661,91525,113156,0.0810837828619239,2,1077332,0.792016697065736,282906,0.207982567769341,1083188,277051,1047875,0.9674,35312,0.0326,26662,250389,826488,221387,0.2113,16766,1217077,143162,0.105247680738458,546730,118574,0.113156626506024,70382,0.0671664082070858,10712,0.0102225933436717,848206,0.80945341763092,13867,0.0132334486460694,253477,0.241896218537516,25833,0.0246527496123106,77166,0.0736404628414649,16936,0.016162233090779,169514,0.161769295001789,56080,0.053517833711082,45042,0.0429841345580341,206886,0.197433854228796,91585,0.0874006918764166,84518,0.0806565668615054,16970,13,9615,13200,19675,104250,18914,14964,12721,18278,18095,11727,179.90297990298,0.799,NA,NA,NA,NA,NA,NA,NA,NA
"32",422,"Administración turística y de restaurantes",59612,15711,0.263554317922566,43901,0.736445682077434,31590,9486,22104,1588,4432,2596,5239,11023,22410,0.00355346851837435,53,48014,0.805441857344159,11598,0.194558142655841,45424,14188,43489,0.9574,1935,0.0426,1403,12785,30848,12641,0.2907,640,55288,4324,0.0725357310608602,18999,4477,0.102945572443606,4347,0.0999563107912346,630,0.0144864218538021,34036,0.78263468923176,NA,NA,5595,0.128653222654004,535,0.0123019614155304,4815,0.110717652739773,201,0.00462185840097496,2678,0.0615787900388604,7951,0.182827841523144,1512,0.0347674124491251,9927,0.228264618639196,7928,0.182298972153878,2032,0.0467244590586125,14420,25,9225,11750,17500,48750,14761,14291,11083,15410,14588,12770,127.669353698204,0.7447,NA,NA,NA,NA,NA,NA,NA,NA
