CVE_CARRERA,CARRERA,TOTAL,HOMBRE,PCT_HOMBRE,MUJER,PCT_MUJER,MATRICULA,MATRICULA_H,MATRICULA_M,EGRESADOS_H,EGRESADOS_M,NUEVO_INGRESO_H,NUEVO_INGRESO_M,LUGARES,SOLICITUDES,PCT_TOTAL,RANK_EGRESADOS,X30.O.MAS,PCT_30MAS,MENOR.DE.30,PCT_30MENOS,ACTIVA,NO.ACTIVA,OCUPADO,TASA_OCUPACION,DESOCUPADO,TASA_DESOCUPACION,DISPONIBLE,NO.DISPONIBLE,FORMAL,INFORMAL,TASA_INFORMALIDAD,DESANIMADO,INGRESO.CERO,CUENTAPROPIA,%_CUENTAPROPIA,EMPLEADOR,%_EMPLEADOR,SIN.PAGO,%_SIN.PAGO,SUBORDINADO,%_SUBORDINADO,AGRICULTURA.Y.GANADERIA,%_AGRICULTURA,COMERCIO,%_COMERCIO,CONSTRUCCION,%_GOBIERNO,GOBIERNO.Y.ORGANISMOS.INTERNACIONALES,%_GOBIERNO,INDUSTRIA.EXTRACTIVA,%_EXTRACTIVA,INDUSTRIA.MANUFACTURERA,%_MANUFACTURA,RESTAURANTES.Y.ALOJAMIENTOS,%_RESTAURANTES,SERVICIOS.DIVERSOS,%_SERVDIVERSOS,SERVICIOS.PROFESIONALES..FINANCIEROS.Y.CORPORATIVOS,%_SERVPROFESIONALES,SERVICIOS.SOCIALES,%_SERVSOCIALES,TRANSPORTES.Y.COMUNICACIONES,%_TRANSPORTES,INGRESO,RANK_INGRESO,INGRESO_Q25,INGRESO_Q50,INGRESO_Q75,INGRESO_Q100,INGRESO_H,INGRESO_M,INGRESO_30MENOS,INGRESO_30MAS,INGRESO_FORMAL,INGRESO_INFORMAL,PROB_EMPL_CAL,COSTO_TOTAL_PRIVADA,TIEMPO_INVERSION_PRIV,CI_PRI,RSI_PRI,COSTO_TOTAL_PUBLICA,TIEMPO_INVERSION_PUB,CI_PUB,RSI_PUB,CARRERA.PROFESIONAL,POSGRADO,%_POSGRADO,INGRESO_LIC,ING_POSG,INCREMENTO_POSGRADO
127,TSU. Formación docente en otros servicios educativos,21117,60,0.002841313,21057,0.997158687,108,3,105,0,13,2,46,47,49,0.006606639,16,17844,0.845006393,3273,0.154993607,13727,7390,13727,NA,NA,NA,729,6661,6491,7236,0.5271,780,5932,2518,0.183434108,160,0.011655861,294,0.021417644,10755,0.783492387,NA,NA,3643,0.265389379,132,0.009616085,842,0.061338967,NA,NA,1631,0.11881693,435,0.031689371,795,0.057915058,1543,0.112406207,4314,0.314271144,189,0.013768485,11882.736,13,8004.88,10024,14778.24,29556.48,NA,11882.736,11291.32,11938.584,14095.176,9564.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Bellas artes,25528,10286,0.402930116,15242,0.597069884,9978,3089,6889,484,856,783,1750,4901,7090,0.0016031,66,22217,0.870299279,3311,0.129700721,18623,6905,17142,0.9205,1481,0.0795,1318,5587,9753,7389,0.431,1824,8506,7253,0.423112822,508,0.029634815,453,0.026426321,8928,0.520826041,NA,NA,1901,0.110897212,430,0.025084588,474,0.027651383,NA,NA,2924,0.170575195,458,0.026718003,2200,0.12833975,1403,0.081845759,6623,0.386360985,729,0.042527126,24911,8,18472.8,25776,28640,42960,25672.896,23559.264,24080.512,25025.632,25869.08,21774.992,0.5811,NA,NA,NA,NA,45346,1.820315079,Muy Insegura,13,22246,3282,0.128564713,21690.288,16390,75.56377306
213,Música,25596,18654,0.728785748,6942,0.271214252,9859,6278,3581,946,507,1433,810,5053,4693,0.00160737,65,20095,0.785083607,5502,0.214955462,22818,2779,22096,0.9684,722,0.0316,128,2650,12322,9774,0.4423,NA,10640,7269,0.32897357,1240,0.056118755,NA,NA,13587,0.614907676,NA,NA,2029,0.091826575,NA,NA,855,0.038694786,NA,NA,688,0.031136857,1190,0.053855902,5263,0.238187907,1204,0.0544895,10507,0.47551593,286,0.012943519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23417,2180,0.085169558,NA,NA,NA
215,Diseño y comunicación gráfica y editorial,199645,98654,0.494147111,100992,0.505857898,70714,28767,41947,3901,5936,9101,12642,33515,40170,0.012537249,26,141645,0.709484335,58000,0.290515665,172514,27131,163530,0.9479,8984,0.0521,4366,22765,108046,55484,0.3393,5793,91166,38630,0.236225769,11000,0.067265945,2236,0.013673332,111664,0.682834954,594,0.003632361,24508,0.149868526,2341,0.014315416,4617,0.028233352,NA,NA,31432,0.192209381,6815,0.041674311,7089,0.043349844,63987,0.391286003,10080,0.061640066,11146,0.068158748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6481,NA,NA,NA,NA,NA,NA,NA,NA,192879,6766,0.033890155,NA,NA,NA
216,Diseño industrial de moda e interiores,87406,27674,0.31661442,59732,0.68338558,17837,2969,14868,303,1898,1042,4781,8441,8731,0.005488897,44,65554,0.74999428,21852,0.25000572,66990,20416,64146,0.9575,2844,0.0425,1665,18750,41646,22500,0.3508,1900,36572,19215,0.299551024,7678,0.119695694,1372,0.021388707,35882,0.559380164,NA,NA,8746,0.136345212,1060,0.016524803,1204,0.018769682,NA,NA,15787,0.246110436,2206,0.034390297,6603,0.10293705,19058,0.297103483,5158,0.080410314,3537,0.055139837,22021,21,12601.6,19349.184,27208,73750.864,24312.496,20914.36,17778.28,23411.768,24676.224,16032.672,0.6883,438772,19.92489452,Muy Insegura,6.2,36381,1.652082602,Insegura,12.9,85182,2224,0.025444477,19124.316,NA,NA
222,Adquisición de idiomas extranjeros,77839,27154,0.348848264,50685,0.651151736,22686,6546,16140,905,2178,2184,5214,11070,11471,0.004888111,46,53172,0.683102301,24667,0.316897699,59091,18748,55592,0.9408,3499,0.0592,3337,15411,37166,18426,0.3315,1857,25455,7532,0.13548712,593,0.010667002,372,0.00669161,47095,0.847154267,397,0.007141315,2570,0.046229673,284,0.005108649,1183,0.02128004,NA,NA,2194,0.03946611,2129,0.038296877,2196,0.039502087,7686,0.138257303,34037,0.612264355,2637,0.047434883,17372,40,11215.424,13962,21515.8,50478,19241.784,16595.448,14089.448,19675.68,18491.416,13691.352,0.6945,169694,9.768477178,Muy Insegura,7.2,47970,2.761404942,Muy Insegura,10.6,75530,2308,0.029650946,14990.94,27177.898,181.2954891
223,Literatura,62557,16624,0.265741644,45933,0.734258356,12586,4026,8560,514,1237,1000,2010,4522,4841,0.003928436,51,50930,0.814137507,11627,0.185862493,38259,24298,37245,0.9735,1014,0.0265,1224,23074,26818,10428,0.28,858,18198,5048,0.135534971,719,0.019304605,NA,NA,30607,0.821774735,851,0.022848705,2404,0.064545577,NA,NA,2175,0.0583971,NA,NA,1883,0.050557122,1193,0.032031145,1664,0.044677138,2775,0.074506645,19385,0.520472547,3744,0.10052356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8034,NA,NA,NA,NA,NA,NA,NA,NA,49636,12922,0.206563614,NA,NA,NA
225,Historia y arqueología,42289,21209,0.501525219,21080,0.498474781,9498,5234,4264,537,503,1289,932,3517,3734,0.002655652,60,38369,0.9073045,3920,0.0926955,35018,7271,34333,0.9804,685,0.0196,1284,5987,27911,6422,0.1871,740,15189,5513,0.160574375,2059,0.059971456,525,0.015291411,26236,0.764162759,1987,0.057874348,1513,0.044068389,374,0.01089331,3107,0.090496024,NA,NA,150,0.004368974,650,0.018932223,2572,0.074913349,3008,0.087612501,14083,0.410188448,6889,0.200652434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8144,NA,NA,NA,NA,NA,NA,NA,NA,24447,17842,0.421906406,NA,NA,NA
310,Planes multidisciplinarios o generales del campo de ciencias sociales y estudios del comportamiento,30513,13933,0.456625045,16580,0.543374955,2297,1061,1236,58,143,310,368,1175,1832,0.001916147,64,27069,0.887130076,3444,0.112869924,19284,11228,18898,0.98,386,0.02,778,10450,14080,4819,0.255,385,7766,2086,0.110382051,1316,0.069636999,58,0.003069108,15438,0.816911843,495,0.026193248,1825,0.096571066,NA,NA,1987,0.105143401,34,0.001799132,520,0.027516139,492,0.026034501,174,0.009207324,2634,0.139379829,8946,0.473383427,1431,0.075722299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8168,NA,NA,NA,NA,NA,NA,NA,NA,18007,12506,0.409858093,NA,NA,NA
311,Psicología,595676,124598,0.209170757,471077,0.790827564,203486,51684,151802,7453,24540,16062,43731,90194,110187,0.03740709,5,430181,0.722172792,165494,0.277825529,458687,136989,438834,0.9567,19852,0.0433,17021,119968,306295,132539,0.302,8144,212682,97240,0.221587206,14652,0.033388479,9108,0.020755001,317834,0.724269314,1615,0.003680207,56816,0.129470369,3206,0.007305724,45658,0.104043898,892,0.002032659,37857,0.086267245,13867,0.031599648,19353,0.044100958,48097,0.109601808,196636,0.448087432,12501,0.028486854,18332,31,11269.84,15434.096,21004.576,197258,19191.664,18040.336,16807.384,18994.048,20112.44,12355.296,0.7305,269914,14.72327997,Insegura,6.4,60886,3.321212031,Muy Insegura,10.4,538728,56948,0.095602307,15359.814,28302.252,184.2616844
